B06011_001E,state,county,tract
25114,26,137,950400
26435,26,137,950500
49485,26,125,150900
60972,26,125,159000
27315,26,059,050400
26685,26,059,050800
25260,26,059,050500
26261,26,059,051000
24130,26,059,050600
15889,26,059,050700
26291,26,059,051200
31699,26,099,222500
42549,26,099,223400
27981,26,099,241000
31664,26,099,232200
29132,26,099,232300
28997,26,099,240300
49517,26,161,404300
40417,26,161,404500
21177,26,161,410500
18622,26,161,410700
20399,26,161,411100
30158,26,161,411700
25772,26,161,412300
21508,26,161,413000
40598,26,161,416000
48309,26,161,416200
9583,26,161,421900
43984,26,161,454000
42011,26,161,402500
73750,26,161,403100
26816,26,161,403600
44164,26,161,404600
22162,26,161,410300
20411,26,161,410800
54929,26,161,414900
26113,26,025,004000
28214,26,025,003000
31640,26,081,013100
30179,26,081,002200
40942,26,081,010903
29504,26,081,011500
33612,26,081,014601
35339,26,081,002900
31447,26,099,250700
28707,26,099,250900
27564,26,009,960300
26140,26,009,960400
30793,26,009,960600
27813,26,009,960100
20853,26,009,960700
-666666666,26,061,990100
18139,26,163,541400
17981,26,163,542700
31556,26,163,542800
38750,26,163,543000
13557,26,163,544200
17297,26,163,545700
25682,26,163,546900
65446,26,163,550600
52363,26,163,550700
46597,26,163,551200
10999,26,163,553400
16767,26,163,553800
41413,26,163,554700
31354,26,163,554800
25424,26,163,555400
34623,26,163,556300
30888,26,163,557200
39773,26,163,557500
32398,26,163,582100
27853,26,163,580700
33799,26,163,581500
25475,26,163,581800
24340,26,163,584300
32170,26,163,588200
31509,26,163,588300
35696,26,163,588400
28557,26,163,594500
42909,26,163,596100
52031,26,163,596300
15341,26,163,536500
15174,26,163,537000
39873,26,139,023001
32196,26,139,023002
39434,26,139,023500
35570,26,139,023600
22490,26,139,024400
39054,26,139,024600
8713,26,139,024900
34754,26,139,024300
5277,26,139,024500
24640,26,139,025100
25897,26,139,025200
31260,26,139,025500
28566,26,139,025700
28981,26,139,025800
-666666666,26,139,990000
-666666666,26,141,990000
-666666666,26,147,990000
25484,26,149,041101
31726,26,149,041102
-666666666,26,151,990000
17088,26,153,000300
31591,26,155,031301
27142,26,155,031302
26341,26,157,000100
25894,26,157,000200
27370,26,157,000300
28814,26,157,000400
26250,26,157,000500
17773,26,143,971200
25870,26,153,000100
24954,26,153,000200
-666666666,26,153,990000
19215,26,157,000600
26414,26,157,000700
26753,26,157,000800
20625,26,157,000900
22431,26,157,001000
25442,26,049,011711
24148,26,049,012601
27863,26,049,012603
28250,26,049,010502
38313,26,049,011102
31074,26,049,011209
21158,26,049,011508
25084,26,099,260100
38333,26,093,740700
31803,26,093,741100
24868,26,125,194500
53375,26,125,197000
45949,26,125,198000
35408,26,125,132700
59337,26,125,137800
39682,26,125,123100
33377,26,125,127300
31747,26,125,127500
46759,26,125,128800
39556,26,125,131300
41933,26,125,132600
37366,26,125,134000
56037,26,125,136300
54813,26,125,136700
57885,26,125,137100
33105,26,125,139200
31181,26,125,140500
40763,26,125,140800
16009,26,125,141200
20849,26,125,141400
62823,26,125,150200
32081,26,125,154200
31262,26,125,157200
35119,26,125,157400
36735,26,125,157700
52708,26,125,166200
38859,26,125,160700
34212,26,125,161100
24917,26,125,161900
49318,26,125,166700
46186,26,125,168600
52311,26,125,170000
13945,26,049,010304
23462,26,049,010501
25044,26,049,010813
40402,26,049,011101
33073,26,049,011601
35802,26,049,011710
22891,26,049,012311
30785,26,049,012501
35126,26,049,012904
34868,26,049,013001
40872,26,049,013112
32295,26,049,010610
30216,26,049,011210
23476,26,049,011401
19429,26,049,012310
32958,26,049,012704
34858,26,049,012801
35431,26,049,013113
38828,26,049,013402
15670,26,049,000300
11783,26,049,000400
19821,26,049,000500
17673,26,049,001000
17403,26,049,001600
15754,26,049,001900
14627,26,049,002000
14912,26,049,002200
12155,26,049,002300
17209,26,049,002700
41190,26,125,128600
28190,26,125,122900
47807,26,125,127200
32270,26,125,127400
38393,26,125,130000
36811,26,125,130100
32787,26,125,130200
36920,26,125,130600
40303,26,125,131100
42861,26,125,131400
30385,26,125,131800
41694,26,125,134300
41753,26,125,136000
35469,26,125,139400
17594,26,125,141700
31000,26,125,144100
34761,26,049,012703
38897,26,049,012906
27312,26,049,010603
27074,26,049,011212
41743,26,049,011213
32844,26,049,011402
26859,26,049,011713
36932,26,049,011714
26012,26,099,263700
34780,26,099,215300
34441,26,099,223500
30230,26,099,224600
33616,26,099,227300
19782,26,099,268100
19306,26,099,263800
21361,26,099,263900
21793,26,099,264200
31307,26,099,260200
26194,26,099,260300
24984,26,099,261100
27288,26,099,262700
19865,26,099,263500
25508,26,099,230800
23775,26,099,231600
27327,26,099,231900
33106,26,099,232100
26723,26,099,232400
22717,26,099,240000
31776,26,099,240400
30861,26,099,240900
28589,26,099,241600
34268,26,099,245300
16304,26,099,245400
17321,26,099,247100
51384,26,099,247400
33781,26,099,250600
39408,26,099,252000
30345,26,099,254000
42102,26,099,215000
20056,26,025,001100
25120,26,025,003100
26314,26,031,960400
21558,26,031,960800
34333,26,125,144300
31221,26,125,144800
34615,26,125,145100
34630,26,125,145200
26348,26,125,145400
55588,26,125,153000
46159,26,125,157000
29276,26,125,181500
34323,26,125,144200
36399,26,125,144500
53235,26,125,150000
25354,26,081,014704
39838,26,081,014803
32915,26,081,014804
49179,26,081,011901
30854,26,081,012003
24855,26,081,013000
22817,26,081,013500
36301,26,081,000300
21726,26,081,001300
29028,26,081,004300
25216,26,081,003000
16793,26,081,003200
33717,26,081,010302
31232,26,081,010902
40105,26,081,011002
38063,26,081,011804
31348,26,089,970200
33870,26,089,970300
32017,26,089,970600
30025,26,087,330000
31217,26,087,333000
26724,26,087,330500
21916,26,087,340500
24583,26,087,334000
30140,26,087,342000
26238,26,087,333500
23418,26,087,337500
32765,26,087,338000
19974,26,087,339500
-666666666,26,087,336500
21828,26,087,337000
25829,26,157,001200
28503,26,157,001300
-666666666,26,157,990000
38333,26,163,591600
39596,26,163,594100
35027,26,163,595200
23296,26,163,503300
25282,26,163,500600
22139,26,163,504900
14914,26,163,507900
24280,26,163,513300
13699,26,163,516600
14205,26,163,518800
13626,26,163,520400
18018,26,163,521500
27031,26,077,001907
33775,26,077,002005
32076,26,077,002700
30275,26,077,002802
21881,26,077,002201
14189,26,077,000300
16240,26,077,000600
25679,26,077,001603
28401,26,077,001702
38088,26,077,002003
42148,26,077,002004
40579,26,077,001200
21834,26,077,001905
36371,26,077,002002
33145,26,077,002901
46798,26,077,003003
33837,26,077,003302
46667,26,125,138600
30833,26,125,140700
17988,26,125,142200
28511,26,125,142600
32875,26,125,144400
85347,26,125,153300
41893,26,125,154000
33177,26,125,156900
44024,26,125,157100
30325,26,125,160500
30352,26,081,014502
41162,26,081,014805
24572,26,157,001100
31011,26,149,041300
31733,26,149,040100
29192,26,149,040500
25890,26,149,041400
27282,26,149,041000
23596,26,147,631600
23809,26,147,644000
30962,26,147,651100
29245,26,147,637200
22352,26,147,657100
33808,26,147,627000
31484,26,147,635000
40847,26,147,640100
29695,26,147,640600
37338,26,147,641000
24691,26,073,940400
13728,26,073,940500
34629,26,073,940600
33750,26,075,006303
35485,26,075,006304
29087,26,075,006803
32596,26,075,006804
16436,26,075,006900
30509,26,077,003500
26026,26,077,005501
28375,26,077,005502
29908,26,077,006102
35701,26,077,006601
29555,26,077,006701
31346,26,077,006702
32442,26,081,011405
23757,26,081,011406
25982,26,081,012607
27140,26,081,012608
26903,26,083,000100
-666666666,26,083,980100
-666666666,26,083,990100
50263,26,125,157800
54792,26,125,157900
28898,26,065,002901
40137,26,065,003302
25727,26,065,005100
17188,26,065,004000
23150,26,065,005304
36299,26,091,060600
27334,26,091,060500
20618,26,091,061302
21029,26,091,061600
25987,26,091,061800
27672,26,091,060800
29913,26,091,061200
32818,26,091,060100
16105,26,091,061301
25837,26,091,061900
34446,26,037,010107
46218,26,037,010108
30027,26,037,010801
32866,26,037,010802
37049,26,037,011104
9091,26,037,011200
38973,26,045,020303
39291,26,045,020304
31721,26,045,020403
23676,26,163,568800
30107,26,163,568900
13894,26,163,573701
17146,26,163,573702
33214,26,163,574202
40780,26,163,579900
29425,26,163,591501
43852,26,161,455000
10898,26,161,400800
28015,26,161,402200
21164,26,161,400100
34630,26,161,400400
32543,26,161,400700
30142,26,161,402100
43889,26,161,403500
71139,26,161,405300
18885,26,125,175100
22023,26,125,181000
38870,26,125,183000
46671,26,125,184200
41813,26,125,184400
53847,26,125,184500
64031,26,125,187000
56367,26,125,188000
59688,26,125,196400
54904,26,125,192200
77763,26,125,192500
53722,26,125,192700
50148,26,125,197200
29867,26,125,197400
44321,26,125,197500
37685,26,021,001600
26057,26,021,010500
30625,26,021,011000
32029,26,021,011100
25485,26,021,011500
27180,26,099,262800
28232,26,099,268000
26780,26,099,206700
33702,26,099,214000
25763,26,099,255400
22642,26,099,258700
33912,26,099,260000
30465,26,099,261500
32656,26,099,267600
27208,26,099,231400
46319,26,099,224000
34292,26,099,224200
35686,26,099,228000
33091,26,099,231800
27540,26,099,240500
40611,26,099,242500
36699,26,099,250100
26708,26,099,251700
28026,26,099,255500
32202,26,099,258000
51900,26,099,215200
20925,26,165,380300
23396,26,165,380500
24529,26,165,380600
20069,26,165,380700
24306,26,165,380800
27739,26,001,000100
22458,26,001,970500
23956,26,001,970100
20940,26,001,970400
23500,26,001,970600
-666666666,26,001,990000
21032,26,003,000100
25968,26,003,000200
22060,26,003,000300
55313,26,161,403200
46600,26,161,405200
51518,26,161,406000
42000,26,161,407600
14091,26,161,410600
17678,26,161,411000
46993,26,161,414700
44375,26,161,415400
74125,26,161,415600
35769,26,161,420000
38971,26,161,423600
19375,26,125,142400
31719,26,125,145300
75082,26,125,151000
51968,26,125,152900
52326,26,125,156400
42964,26,125,160000
38207,26,125,160800
37619,26,125,160900
10667,26,121,000402
14578,26,121,004200
14224,26,121,004300
40299,26,125,121800
50524,26,125,133001
42500,26,125,133002
69258,26,125,196600
44056,26,125,196900
24698,26,125,198100
34331,26,125,197600
40576,26,125,157600
45395,26,125,166400
4749,26,125,192800
28375,26,125,162100
38029,26,125,171100
62574,26,125,188100
27099,26,125,144900
68278,26,125,150500
32986,26,147,637100
38476,26,147,640200
26106,26,147,643000
34048,26,147,652100
26380,26,147,655100
29151,26,147,630400
30263,26,147,631100
26872,26,147,649000
28182,26,147,651200
32391,26,147,650200
19927,26,159,010200
28641,26,159,010300
31598,26,159,010900
30466,26,159,011002
26447,26,159,010500
26734,26,159,010100
27057,26,159,011500
16779,26,159,010600
27221,26,159,011300
23171,26,159,011400
24712,26,159,011600
27696,26,159,010400
51125,26,161,403400
36538,26,161,403800
22480,26,163,552200
34728,26,163,594200
32249,26,163,589400
32013,26,163,591900
38654,26,163,594000
13162,26,163,537300
18553,26,163,537500
23613,26,163,538600
18431,26,163,538700
30825,26,163,538800
32616,26,087,342100
-666666666,26,089,990000
36806,26,091,060301
36346,26,145,011200
20217,26,155,030700
22547,26,155,030800
34066,26,155,031500
30559,26,155,030100
27891,26,155,031800
27900,26,155,030400
27137,26,155,031700
21280,26,155,030600
35986,26,155,031402
