,afam_pop,state_x,county_x,tract_x,tract_id,total_pop,state_y,county_y,tract_y,percent
0,1,26,137,950400,137950400,2065,26,137,950400,0.0
1,0,26,137,950500,137950500,3549,26,137,950500,0.0
2,414,26,125,150900,125150900,3849,26,125,150900,0.11
3,414,26,125,159000,125159000,4433,26,125,159000,0.09
4,9,26,059,050400,059050400,4377,26,059,050400,0.0
5,18,26,059,050800,059050800,2287,26,059,050800,0.01
6,62,26,059,050500,059050500,4551,26,059,050500,0.01
7,80,26,059,051000,059051000,4145,26,059,051000,0.02
8,0,26,059,050600,059050600,3539,26,059,050600,0.0
9,140,26,059,050700,059050700,4860,26,059,050700,0.03
10,0,26,059,051200,059051200,3373,26,059,051200,0.0
11,14,26,099,222500,099222500,3933,26,099,222500,0.0
12,607,26,099,223400,099223400,10525,26,099,223400,0.06
13,1563,26,099,241000,099241000,4818,26,099,241000,0.32
14,472,26,099,232200,099232200,5234,26,099,232200,0.09
15,388,26,099,232300,099232300,4480,26,099,232300,0.09
16,323,26,099,240300,099240300,4131,26,099,240300,0.08
17,36,26,161,404300,161404300,2775,26,161,404300,0.01
18,148,26,161,404500,161404500,4246,26,161,404500,0.03
19,1275,26,161,410500,161410500,2529,26,161,410500,0.5
20,602,26,161,410700,161410700,1233,26,161,410700,0.49
21,606,26,161,411100,161411100,2939,26,161,411100,0.21
22,510,26,161,411700,161411700,2192,26,161,411700,0.23
23,2267,26,161,412300,161412300,3096,26,161,412300,0.73
24,1821,26,161,413000,161413000,3869,26,161,413000,0.47
25,351,26,161,416000,161416000,3401,26,161,416000,0.1
26,211,26,161,416200,161416200,4900,26,161,416200,0.04
27,635,26,161,421900,161421900,1362,26,161,421900,0.47
28,80,26,161,454000,161454000,5181,26,161,454000,0.02
29,79,26,161,402500,161402500,2261,26,161,402500,0.03
30,6,26,161,403100,161403100,1544,26,161,403100,0.0
31,341,26,161,403600,161403600,5603,26,161,403600,0.06
32,433,26,161,404600,161404600,4885,26,161,404600,0.09
33,512,26,161,410300,161410300,4388,26,161,410300,0.12
34,531,26,161,410800,161410800,1721,26,161,410800,0.31
35,167,26,161,414900,161414900,3417,26,161,414900,0.05
