,total_pop,state,county,tract,tract_id
0,2065,26,137,950400,26137950400
1,3549,26,137,950500,26137950500
2,3849,26,125,150900,26125150900
3,4433,26,125,159000,26125159000
4,4377,26,059,050400,26059050400
5,2287,26,059,050800,26059050800
6,4551,26,059,050500,26059050500
7,4145,26,059,051000,26059051000
8,3539,26,059,050600,26059050600
9,4860,26,059,050700,26059050700
10,3373,26,059,051200,26059051200
11,3933,26,099,222500,26099222500
12,10525,26,099,223400,26099223400
13,4818,26,099,241000,26099241000
14,5234,26,099,232200,26099232200
15,4480,26,099,232300,26099232300
16,4131,26,099,240300,26099240300
17,2775,26,161,404300,26161404300
18,4246,26,161,404500,26161404500
19,2529,26,161,410500,26161410500
20,1233,26,161,410700,26161410700
21,2939,26,161,411100,26161411100
22,2192,26,161,411700,26161411700
23,3096,26,161,412300,26161412300
24,3869,26,161,413000,26161413000
25,3401,26,161,416000,26161416000
26,4900,26,161,416200,26161416200
27,1362,26,161,421900,26161421900
28,5181,26,161,454000,26161454000
29,2261,26,161,402500,26161402500
30,1544,26,161,403100,26161403100
31,5603,26,161,403600,26161403600
32,4885,26,161,404600,26161404600
33,4388,26,161,410300,26161410300
34,1721,26,161,410800,26161410800
35,3417,26,161,414900,26161414900
36,3984,26,025,004000,26025004000
37,2140,26,025,003000,26025003000
38,5621,26,081,013100,26081013100
39,4960,26,081,002200,26081002200
40,7208,26,081,010903,26081010903
41,7485,26,081,011500,26081011500
42,8537,26,081,014601,26081014601
43,1358,26,081,002900,26081002900
44,3013,26,099,250700,26099250700
45,2660,26,099,250900,26099250900
46,2706,26,009,960300,26009960300
47,3088,26,009,960400,26009960400
48,3196,26,009,960600,26009960600
49,2633,26,009,960100,26009960100
50,4901,26,009,960700,26009960700
51,0,26,061,990100,26061990100
52,2938,26,163,541400,26163541400
53,906,26,163,542700,26163542700
54,2621,26,163,542800,26163542800
55,1801,26,163,543000,26163543000
56,2130,26,163,544200,26163544200
57,3214,26,163,545700,26163545700
58,1163,26,163,546900,26163546900
59,2375,26,163,550600,26163550600
60,5298,26,163,550700,26163550700
61,3991,26,163,551200,26163551200
62,2465,26,163,553400,26163553400
63,1536,26,163,553800,26163553800
64,2970,26,163,554700,26163554700
65,3385,26,163,554800,26163554800
66,2564,26,163,555400,26163555400
67,3116,26,163,556300,26163556300
68,2007,26,163,557200,26163557200
69,3954,26,163,557500,26163557500
70,3844,26,163,582100,26163582100
71,3596,26,163,580700,26163580700
72,2323,26,163,581500,26163581500
73,2744,26,163,581800,26163581800
74,1827,26,163,584300,26163584300
75,3148,26,163,588200,26163588200
